PC1,PC2,Position,Player
5.403200779310993,-0.8925327080408978,PF,LeBron James
1.6540169662861823,-1.6424113632018589,PG,Chris Paul
-1.9263958269588997,-0.12430304724557886,PF,Taj Gibson
-1.6041364993923966,-1.1663030442443096,PF,P.J. Tucker
1.0260290061562392,0.7962469257078443,C,Al Horford
0.9788209298553718,-1.1014671449992548,PG,Kyle Lowry
-1.2506024512121572,0.032394970366734194,PF,Jeff Green
-1.8121600189917533,-0.7530284593561837,SG,Garrett Temple
-2.0458576532543633,-0.5452687499834097,SG,Wesley Matthews
1.6883330024287921,-1.9651031940441324,PG,Mike Conley
-0.500755826275475,-1.2979234531078585,SF,Joe Ingles
-1.3520840251889634,2.1443953923616474,C,JaVale McGee
-2.195927572988981,-0.7499989950461552,PF,James Johnson
4.693852117648974,0.08823973840310888,PF,Kevin Durant
3.197295326279385,-1.5778932077297105,PG,Stephen Curry
1.7344921064392431,2.5446992187990487,C,Brook Lopez
1.768767432777782,-0.25227927405657996,PG,Russell Westbrook
0.2852205511529866,-0.7960348428299626,SG,Eric Gordon
-0.19110817496821497,-0.4998731615347636,PG,Patrick Beverley
-0.03007058163104273,0.19604136464989685,PF,Nicolas Batum
-0.14763152234645832,0.042983736007201734,PF,Kevin Love
-0.31182326993976395,-1.1566150472283214,PG,Derrick Rose
-1.447814723368292,-0.5451306252235205,SF,Danilo Gallinari
-0.9897681470772304,2.136405005121193,PF,Thaddeus Young
-1.6060861107571907,-1.5432814034063487,PG,Patty Mills
-0.7476212624751576,-1.4561970413156249,PG,Ish Smith
-2.2632892299237093,1.8387212121136487,C,Boban Marjanović
-2.6800983841271466,-0.8569971085121575,C,Robin Lopez
2.919739160817749,-0.7553476859553728,SF,DeMar DeRozan
2.926920900818491,-1.1459100954007662,PF,Jimmy Butler
3.8153732515895875,-1.344749708751802,PG,James Harden
-1.4854943365887414,-0.5580835934731273,SG,Justin Holiday
0.35503430171510186,-0.9473151176611617,PF,Bojan Bogdanović
-1.1786091372949974,-0.37035806934907145,PF,Marcus Morris
-2.2031498729960424,-1.0547244633265853,PF,Markieff Morris
3.396630253201837,-2.079237352017088,PG,Damian Lillard
3.253654545548133,-1.1261697192231466,PF,Paul George
2.722492996349871,1.1936523373032946,C,Nikola Vučević
1.0319060339879746,-0.9276248027968957,SF,Klay Thompson
2.278747003260236,-0.3286000288703397,PG,Jrue Holiday
0.0598360865608296,-1.1278350187343915,PG,Reggie Jackson
0.5800620905829166,-0.6209800408625532,SF,Gordon Hayward
3.041438778385622,0.29348001504138177,PF,Draymond Green
-0.7684526263101216,-0.31100829719513245,PF,Jae Crowder
-0.6319294051264824,-0.02288664045149291,SF,Torrey Craig
-0.720900434374196,2.394094528054809,C,Mason Plumlee
-1.4548486325786316,-1.1451359460652524,SG,Seth Curry
-0.10886888694814117,-0.07316566997274399,PF,Robert Covington
3.8047872370594096,-0.21927427496508392,SF,Kawhi Leonard
2.311060676556863,-0.9026453121840619,PG,CJ McCollum
-0.8990778638345219,-1.1320629164732625,SG,Alec Burks
1.9240508099290385,-0.2139508030880174,C,Kelly Olynyk
-1.985848696206328,-0.4683615231381821,SF,Doug McDermott
-0.7035267751054743,1.4158337327077404,C,Dwight Powell
2.37590703963716,-0.9810680007491188,SF,Khris Middleton
-0.7665179594006581,0.5110787511498365,C,Maxi Kleber
-1.7149168083113715,3.42741417319077,C,Tristan Thompson
-2.1386277483130716,-0.08231803947088655,C,Mike Muscala
-2.712665732555275,-0.09689887812547314,SG,Joe Harris
-2.2790004613685877,-0.3026236397182756,PG,Cory Joseph
-1.9488835595664586,-1.1691218055511092,SF,Reggie Bullock
3.4643986966804574,-1.1862650510930337,SG,Kyrie Irving
2.1588521442013002,0.10565849373719727,PF,Tobias Harris
1.5490490330791133,-1.4077264917077243,SG,Bogdan Bogdanović
-0.19361027128836278,-1.0228322656972149,SF,Tim Hardaway Jr.
3.2859014071771075,5.863110278898414,C,Rudy Gobert
1.541174115892491,1.7508544785679427,C,Jonas Valančiūnas
-0.25765800608452455,-0.6054936883297597,PF,Harrison Barnes
0.7406252478220532,-0.8116388299798224,SF,Buddy Hield
1.4209454317548487,-1.0746365129236888,PG,T.J. McConnell
-0.2043797191537717,1.22182412870698,C,Daniel Theis
0.5045311931905199,0.3019308120766578,C,Larry Nance Jr.
-0.7785783581213213,-0.23008788432972252,SF,Pat Connaughton
1.801891555749449,-1.5755347246662639,SG,Jordan Clarkson
1.4857292214117996,-1.4362240162432103,PG,Malcolm Brogdon
-0.8465037285010822,-0.8314837135184735,SG,Evan Fournier
-1.1952424881229387,-1.0473109477120226,PF,Dāvis Bertāns
-0.8067815066544959,0.8285794481893257,PF,Chris Boucher
-0.42828949567419966,0.7735111729823578,SG,Gary Payton II
-0.6157799450140231,-1.2062858472861542,PG,Delon Wright
-1.6798656329836494,0.18498584902201481,PF,Anthony Gill
-2.1061851236415787,0.16677181119874276,C,Cody Zeller
-3.1822542802937686,3.1873145443827067,PF,Thanasis Antetokounmpo
5.486122139170803,3.3991166675752207,C,Anthony Davis
1.66805647365279,-1.6434931942341715,PG,Dennis Schröder
0.008053567153236671,-0.6150446999976706,SG,Norman Powell
0.5062366360986369,-1.190570468235386,PG,Spencer Dinwiddie
0.944749879979503,-0.857812057704355,SG,Kentavious Caldwell-Pope
-0.5284872569273085,-0.5133195691668927,PF,Georges Niang
0.1741295216658722,0.2766112091039252,PF,Dorian Finney-Smith
0.6927117687411878,3.2630331832158728,C,Andre Drummond
0.22372152062753328,0.051433641548359665,SF,Royce O'Neale
0.0020541915591245747,-1.1384799181311211,PG,Vasilije Micić
0.640621294107325,0.32556839990787945,PF,Kyle Anderson
2.886151927874851,-0.8765240376274376,SG,Bradley Beal
1.5774906484163091,1.7315558467485617,SF,Javonte Green
-0.07277829180778096,-0.8786354287299168,SG,Josh Richardson
-0.7220518397468257,1.283488254812385,C,Richaun Holmes
-1.6161486771198486,-0.22467955036263532,SF,Danuel House Jr.
-1.8664725375765263,0.35387430311919055,SF,T.J. Warren
-1.7950348277037256,-0.6790777608939779,SF,Otto Porter Jr.
-1.3493952743268116,3.069112363375742,C,Alex Len
6.22301414313115,1.7699970411301527,PF,Giannis Antetokounmpo
2.5871235144040896,0.12149056293281829,PF,Pascal Siakam
2.3075942446028836,-1.4361272744226845,SG,Terry Rozier
3.3389213715585804,-1.5176486174000778,PG,Fred VanVleet
2.5414740056581144,-0.2739926702994451,SG,Derrick White
1.8925331752513186,-0.7707119682432192,SG,Caris LeVert
0.5353497083717214,-1.2649576264819014,SF,Duncan Robinson
1.6729433328049503,4.525933217264694,C,Clint Capela
3.3318613536300794,2.174793190330411,C,Jusuf Nurkić
2.20170424512375,-0.14142009228056918,SG,Alex Caruso
-0.24337085967981945,-0.30347417657498527,PF,Taurean Prince
0.08144902412237147,-0.4819575532237295,C,Dario Šarić
-0.7063905310799377,-1.284905456294569,PG,Cameron Payne
0.48373009960749097,-0.36293283075145943,PG,Kris Dunn
-1.2290595006412095,0.25836984712672173,PF,Kenrich Williams
6.976457733245321,1.0308606315278745,C,Joel Embiid
3.736584560806553,-0.14416841977851708,PF,Julius Randle
1.936816984835738,-0.7267546652851555,PF,Jerami Grant
3.2100591437549264,-1.583923820020778,PG,Marcus Smart
-0.5833550225122429,-0.5887726181629805,SG,Gary Harris
-2.0861898003302084,-0.07048882328437085,SF,Yuta Watanabe
-2.5764959671666623,0.5517290902380569,SG,Xavier Moon
-2.2891423537403597,-1.6694889245445244,SF,Ish Wainright
6.634828807786394,0.5151437376697864,C,Nikola Jokić
2.843435743499166,0.07372838747817478,PF,Kyle Kuzma
3.4072804275214645,0.08423252746852451,PF,Karl-Anthony Towns
1.300622697375248,0.33529677255404583,SF,Kelly Oubre Jr.
1.7127261720718967,1.1664672723345682,PF,Aaron Gordon
1.1951261308992718,0.42377322621882474,PF,Bobby Portis
1.4203883645091355,-0.6231112408225189,SG,Grayson Allen
0.550416469506383,0.22847547165829696,SF,Andrew Wiggins
0.3389114722248718,-1.004541268624148,SF,Dillon Brooks
0.10318093153733147,-0.47826265782872057,SF,Simone Fontecchio
0.42957720133515537,-0.11035299161797413,SF,Caleb Martin
1.6481347722793107,-0.007563027734150083,SF,Josh Hart
-0.7988752992940236,0.18828437034914464,PF,Trey Lyles
-0.8326555412082123,-0.13314532620865457,SF,Cedi Osman
0.6540367299554044,-0.36356868504719025,C,Luke Kornet
-1.8014163934083962,-0.3191690323917155,PG,Jevon Carter
-1.1297882682165714,0.3588989045191808,SF,Jae'Sean Tate
2.9639700706193794,1.94969243280358,C,Kristaps Porziņģis
2.136357472324054,-0.8619314418285724,SG,Zach LaVine
